"日期","股票代码","股票名称","收盘价","最高价","最低价","开盘价","前收盘","涨跌额","涨跌幅","换手率","成交量","成交金额","总市值","流通市值","成交笔数"
2018-06-11,"300750",N宁德,36.2,36.2,30.17,30.17,25.14,11.06,43.9936,0.0363,78829,2845471.8,78642219400.0,7864223134.6,154
2018-06-12,"300750",宁德时代,39.82,39.82,39.82,39.82,36.2,3.62,10.0,0.0122,26579,1058375.78,86506441340.0,8650645448.06,86
2018-06-13,"300750",宁德时代,43.8,43.8,43.8,43.8,39.82,3.98,9.995,0.0207,45030,1972314.0,95152740600.0,9515275505.4,98
2018-06-14,"300750",宁德时代,48.18,48.18,48.18,48.18,43.8,4.38,10.0,0.0342,74267,3578184.06,104668014660,10466803055.9,211
2018-06-15,"300750",宁德时代,53.0,53.0,53.0,53.0,48.18,4.82,10.0042,0.1181,256510,13595030.0,115139161000,11513917849.0,717
2018-06-19,"300750",宁德时代,58.3,58.3,58.3,58.3,53.0,5.3,10.0,0.5144,1117428,65146052.4,126653077100,12665309633.9,2895
2018-06-20,"300750",宁德时代,64.13,64.13,64.13,64.13,58.3,5.83,10.0,0.6032,1310382,84034797.66,139318384810,13931840597.3,3447
2018-06-21,"300750",宁德时代,70.54,70.54,70.54,70.54,64.13,6.41,9.9953,0.5669,1231660,86881296.4,153243705980,15324372925.8,3326
2018-06-22,"300750",宁德时代,66.55,72.71,63.49,72.0,70.54,-3.99,-5.6564,58.9985,128170599,8599728955.52,144575682350,14457570431.1,371709
2018-06-25,"300750",宁德时代,69.19,71.6,67.22,68.2,66.55,2.64,3.9669,32.2136,69981999,4868406844.02,150310916030,15031093886.3,162779
2018-06-26,"300750",宁德时代,74.18,75.55,67.1,67.89,69.19,4.99,7.212,28.7942,62553547,4537098812.25,161151376660,16115140113.9,137861
2018-06-27,"300750",宁德时代,74.09,74.93,71.77,74.21,74.18,-0.09,-0.1213,20.3177,44138862,3241043472.73,160955857330,16095588178.0,100592
2018-06-28,"300750",宁德时代,68.21,75.39,67.44,73.3,74.09,-5.88,-7.9363,24.4338,53080981,3770134240.69,148181927770,14818195027.9,119337
2018-06-29,"300750",宁德时代,71.96,74.3,67.77,68.68,68.21,3.75,5.4977,21.0356,45698575,3231958793.35,156328566520,15632859026.7,101403
2018-07-02,"300750",宁德时代,70.0,71.48,69.11,70.79,71.96,-1.96,-2.7237,14.9464,32470182,2278646004.68,152070590000,15207061310.0,75029
2018-07-03,"300750",宁德时代,69.29,71.19,65.85,70.2,70.0,-0.71,-1.0143,15.6092,33910064,2337186967.56,150528159730,15052818259.6,81672
2018-07-04,"300750",宁德时代,65.92,68.15,65.5,68.15,69.29,-3.37,-4.8636,12.098,26282197,1749919477.55,143207047040,14320706879.4,63854
2018-07-05,"300750",宁德时代,68.81,71.88,64.88,65.0,65.92,2.89,4.3841,15.8061,34337783,2343510066.96,149485389970,14948541267.7,79967
2018-07-06,"300750",宁德时代,70.88,74.5,68.7,68.81,68.81,2.07,3.0083,22.6536,49213427,3511358606.62,153982334560,15398235795.0,97593
2018-07-09,"300750",宁德时代,71.55,71.57,69.11,70.8,70.88,0.67,0.9453,14.3014,31068979,2183986505.88,155437867350,15543789096.1,66015
2018-07-10,"300750",宁德时代,72.4,75.89,71.66,75.0,71.55,0.85,1.188,16.7942,36484401,2666043239.85,157284438800,15728446269.2,78178
2018-07-11,"300750",宁德时代,77.06,78.94,69.58,70.0,72.4,4.66,6.4365,22.6109,49120805,3695050773.74,167407995220,16740802065.0,120221
2018-07-12,"300750",宁德时代,84.77,84.77,75.6,76.03,77.06,7.71,10.0052,19.8327,43085212,3430182907.14,184157484490,18415751246.4,98327
2018-07-13,"300750",宁德时代,82.7,88.47,81.03,82.0,84.77,-2.07,-2.4419,22.188,48202055,4049051405.3,179660539900,17966056719.1,119007
2018-07-16,"300750",宁德时代,83.9,84.75,80.1,82.7,82.7,1.2,1.451,13.5862,29515196,2439742028.8,182267464300,18226749198.7,73625
2018-07-17,"300750",宁德时代,82.28,84.17,79.66,83.11,83.9,-1.62,-1.9309,13.172,28615349,2336837084.78,178748116360,17874814351.2,71971
2018-07-18,"300750",宁德时代,82.28,84.37,80.11,82.28,82.28,0.0,0.0,12.4808,27113839,2233771784.96,178748116360,17874814351.2,70543
2018-07-19,"300750",宁德时代,82.89,85.15,80.67,82.0,82.28,0.61,0.7414,11.5421,25074483,2089886953.76,180073302930,18007333028.4,65216
2018-07-20,"300750",宁德时代,90.93,91.18,82.01,82.5,82.89,8.04,9.6996,19.6533,42695635,3750334637.77,197539696410,19753972641.7,108528
2018-07-23,"300750",宁德时代,88.62,90.54,87.55,89.0,90.93,-2.31,-2.5404,11.5144,25014352,2223986140.57,192521366940,19252139618.5,66808
2018-07-24,"300750",宁德时代,91.77,92.96,87.5,88.5,88.62,3.15,3.5545,12.1988,26501025,2395962685.56,199364543490,19936457377.4,70586
2018-07-25,"300750",宁德时代,82.59,95.08,82.59,91.0,91.77,-9.18,-10.0033,21.0452,45719348,4027958763.72,179421571830,17942159908.5,122138
2018-07-26,"300750",宁德时代,78.2,82.6,76.6,80.5,82.59,-4.39,-5.3154,18.0843,39286999,3115796617.37,169884573400,16988459920.6,95654
2018-07-27,"300750",宁德时代,76.05,78.64,75.67,78.0,78.2,-2.15,-2.7494,10.4995,22809584,1748397062.28,165213833850,16521385894.6,52667
2018-07-30,"300750",宁德时代,76.85,77.34,75.0,76.5,76.05,0.8,1.0519,8.3049,18041846,1377263289.26,166951783450,16695180881.0,41630
2018-07-31,"300750",宁德时代,72.22,76.79,70.51,76.78,76.85,-4.63,-6.0247,12.9478,28128307,2055880224.98,156893400140,15689342397.3,67573
2018-08-01,"300750",宁德时代,71.42,73.63,71.02,72.0,72.22,-0.8,-1.1077,8.2551,17933649,1298707855.01,155155450540,15515547410.9,42927
2018-08-02,"300750",宁德时代,72.56,73.29,70.05,70.4,71.42,1.14,1.5962,9.1388,19853529,1429095207.76,157632028720,15763205266.5,50878
2018-08-03,"300750",宁德时代,69.6,73.14,68.66,71.76,72.56,-2.96,-4.0794,7.9583,17288867,1223071469.51,151201615200,15120163816.8,42936
2018-08-06,"300750",宁德时代,69.65,71.08,67.6,69.0,69.6,0.05,0.0718,7.2301,15706945,1096989857.83,151310237050,15131026003.5,37756
2018-08-07,"300750",宁德时代,73.79,74.46,70.0,70.48,69.65,4.14,5.944,9.1901,19964947,1445537173.05,160304126230,16030415058.1,53100
2018-08-08,"300750",宁德时代,71.52,73.58,71.11,73.5,73.79,-2.27,-3.0763,6.7992,14770817,1067594665.9,155372694240,15537271784.2,37175
