"日期","股票代码","股票名称","收盘价","最高价","最低价","开盘价","前收盘","涨跌额","涨跌幅","换手率","成交量","成交金额","总市值","流通市值","成交笔数"
2018-01-02,"600519",贵州茅台,703.85,710.16,689.89,700.0,697.49,6.36,0.9118,0.3949,4961248,3482407646.0,884174821530,884174821530,
2018-01-03,"600519",贵州茅台,715.86,721.4,699.74,701.5,703.85,12.01,1.7063,0.4141,5201941,3713523701.0,899261757108,899261757108,
2018-01-04,"600519",贵州茅台,737.07,743.5,719.33,721.4,715.86,21.21,2.9629,0.5748,7220508,5309890210.0,925905712446,925905712446,
2018-01-05,"600519",贵州茅台,738.36,746.03,728.22,741.0,737.07,1.29,0.175,0.3183,3998907,2946493013.0,927526207608,927526207608,
2018-01-08,"600519",贵州茅台,752.13,756.5,735.02,735.02,738.36,13.77,1.8649,0.4156,5220456,3899951720.0,944824051314,944824051314,
2018-01-09,"600519",贵州茅台,782.52,783.0,752.21,752.21,752.13,30.39,4.0405,0.5142,6459195,5001164506.0,982999902456,982999902456,
2018-01-10,"600519",贵州茅台,785.71,788.88,773.48,785.0,782.52,3.19,0.4077,0.3798,4771424,3731993154.0,987007173438,987007173438,
2018-01-11,"600519",贵州茅台,774.81,788.0,772.0,787.0,785.71,-10.9,-1.3873,0.4032,5065607,3942075854.0,973314617418,973314617418,
2018-01-12,"600519",贵州茅台,788.42,788.8,767.02,773.77,774.81,13.61,1.7566,0.3661,4598824,3577281776.0,990411469476,990411469476,
2018-01-15,"600519",贵州茅台,785.37,799.06,779.02,793.46,788.42,-3.05,-0.3868,0.4177,5247313,4136645487.0,986580066186,986580066186,
2018-01-16,"600519",贵州茅台,772.94,788.61,768.0,780.48,785.37,-12.43,-1.5827,0.5208,6542833,5084966063.0,970965527532,970965527532,
2018-01-17,"600519",贵州茅台,747.93,774.0,738.51,770.0,772.94,-25.01,-3.2357,0.7221,9070954,6835580477.0,939548020554,939548020554,
2018-01-18,"600519",贵州茅台,750.74,765.0,744.09,747.93,747.93,2.81,0.3757,0.4695,5897851,4443031234.0,943077936372,943077936372,
2018-01-19,"600519",贵州茅台,750.18,758.9,739.02,752.9,750.74,-0.56,-0.0746,0.4054,5092556,3818021990.0,942374465604,942374465604,
2018-01-22,"600519",贵州茅台,773.64,774.0,751.81,751.81,750.18,23.46,3.1272,0.5344,6712675,5129674653.0,971844865992,971844865992,
2018-01-23,"600519",贵州茅台,773.78,780.0,768.6,777.81,773.64,0.14,0.0181,0.3944,4954918,3836387690.0,972020733684,972020733684,
2018-01-24,"600519",贵州茅台,764.46,776.46,758.6,776.44,773.78,-9.32,-1.2045,0.3447,4329881,3311348774.0,960312970188,960312970188,
2018-01-25,"600519",贵州茅台,769.16,776.0,751.0,761.0,764.46,4.7,0.6148,0.3984,5004072,3821875040.0,966217099848,966217099848,
2018-01-26,"600519",贵州茅台,777.22,777.4,764.0,767.24,769.16,8.06,1.0479,0.3501,4397833,3389953777.0,976342054116,976342054116,
2018-01-29,"600519",贵州茅台,736.32,779.67,735.0,778.76,777.22,-40.9,-5.2623,0.5933,7453551,5637041971.0,924963564096,924963564096,
2018-01-30,"600519",贵州茅台,742.08,748.77,730.02,736.0,736.32,5.76,0.7823,0.4132,5191103,3852705098.0,932199263424,932199263424,
2018-01-31,"600519",贵州茅台,764.54,771.71,739.0,739.0,742.08,22.46,3.0266,0.4808,6040241,4601994781.0,960413466012,960413466012,
2018-02-01,"600519",贵州茅台,757.73,767.3,752.92,767.0,764.54,-6.81,-0.8907,0.4027,5058261,3846421613.0,951858758994,951858758994,
2018-02-02,"600519",贵州茅台,740.4,753.23,725.0,752.22,757.73,-17.33,-2.2871,0.6004,7542082,5583742782.0,930088851120,930088851120,
2018-02-05,"600519",贵州茅台,718.23,729.96,705.6,727.22,740.4,-22.17,-2.9943,0.7881,9899585,7104095616.0,902238945894,902238945894,
2018-02-06,"600519",贵州茅台,708.86,722.6,703.0,703.0,718.23,-9.37,-1.3046,0.7019,8816871,6270888575.0,890468372508,890468372508,
2018-02-07,"600519",贵州茅台,683.43,723.88,682.01,720.0,708.86,-25.43,-3.5875,0.7028,8828998,6231141116.0,858523262454,858523262454,
2018-02-08,"600519",贵州茅台,700.99,718.0,682.2,682.2,683.43,17.56,2.5694,0.664,8340943,5860233484.0,880582095822,880582095822,
2018-02-09,"600519",贵州茅台,683.43,689.89,658.0,680.0,700.99,-17.56,-2.505,0.8405,10557826,7160206330.0,858523262454,858523262454,
2018-02-12,"600519",贵州茅台,697.48,705.5,685.2,691.0,683.43,14.05,2.0558,0.5109,6417955,4466343242.0,876172841544,876172841544,
